iter	Accuracy	MultiClass
0	0.1727681439	3.914541785
1	0.1774780561	3.835430996
2	0.1931064012	3.765077098
3	0.2089488332	3.707092524
4	0.2155855277	3.653609811
5	0.222864483	3.587535989
6	0.2256476129	3.538478389
7	0.2271462214	3.493936303
8	0.2382787412	3.442388603
9	0.241275958	3.395874636
10	0.2436309142	3.359361899
11	0.2513380432	3.317920078
12	0.2635409976	3.273433637
13	0.2697495183	3.236436671
14	0.2684649968	3.226781362
15	0.2676086491	3.192992756
16	0.267822736	3.182773326
17	0.2688931706	3.15791488
18	0.2688931706	3.136069307
19	0.2658959538	3.122541158
20	0.2682509099	3.093398882
21	0.2708199529	3.07664118
22	0.2744594305	3.050001806
23	0.2740312567	3.030828665
24	0.2783129951	3.009433268
25	0.2808820381	2.990316414
26	0.2821665596	2.977966972
27	0.2832369942	2.957021336
28	0.2834510811	2.951191739
29	0.2821665596	2.935508996
30	0.2849496896	2.919519615
31	0.2879469064	2.910732645
32	0.2909441233	2.894433636
33	0.2920145579	2.87900357
34	0.2915863841	2.865953651
35	0.2907300364	2.863390254
36	0.2920145579	2.851141272
37	0.2930849925	2.835929425
38	0.2930849925	2.824467218
39	0.2945836009	2.810813748
40	0.2952258617	2.801880914
41	0.2967244701	2.787840621
42	0.2992935132	2.776151127
43	0.299721687	2.766799994
44	0.2977949047	2.762612985
45	0.2975808178	2.759935019
46	0.297152644	2.759483115
47	0.2992935132	2.755870593
48	0.3010062085	2.742145438
49	0.3007921216	2.735588557
50	0.3010062085	2.731983159
51	0.3020766431	2.722461401
52	0.3044315992	2.714849755
53	0.3046456861	2.705804201
54	0.3059302077	2.698020353
55	0.3067865553	2.689452643
56	0.3072147292	2.681207985
57	0.3084992507	2.67313876
58	0.3097837722	2.669935052
59	0.3095696853	2.66932643
60	0.3097837722	2.666808212
61	0.312995076	2.658497707
62	0.3140655106	2.651042258
63	0.315778206	2.645879436
64	0.3159922929	2.638289602
65	0.3162063798	2.632938243
66	0.3166345536	2.627583082
67	0.3179190751	2.622800855
68	0.3179190751	2.615542874
69	0.3177049882	2.608295195
70	0.318347249	2.602271746
71	0.3187754228	2.59771089
72	0.3219867266	2.59270619
73	0.3226289874	2.586578006
74	0.323699422	2.584259872
75	0.3228430743	2.582620546
76	0.3230571612	2.578467464
77	0.3241275958	2.576190901
78	0.3254121173	2.571521932
79	0.3254121173	2.571436227
80	0.3269107258	2.566872259
81	0.3271248127	2.563003268
82	0.3292656819	2.558332424
83	0.328837508	2.553266431
84	0.3281952473	2.551478822
85	0.3292656819	2.547772631
86	0.3296938557	2.542960429
87	0.3292656819	2.538933386
88	0.3307642903	2.536966122
89	0.3331192464	2.52921853
90	0.3335474203	2.52836367
91	0.3361164633	2.524967655
92	0.3356882894	2.521822694
93	0.3352601156	2.518123562
94	0.3365446371	2.514491589
95	0.3378291586	2.510104218
96	0.3384714194	2.507025385
97	0.3384714194	2.503339557
98	0.3393277671	2.501201821
99	0.3401841148	2.496774577
100	0.3403982017	2.49229281
101	0.3427531578	2.487726352
102	0.3436095055	2.487093981
103	0.3438235924	2.485337496
104	0.3451081139	2.48392545
105	0.3451081139	2.478883885
106	0.344894027	2.475557457
107	0.3451081139	2.472264982
